OBJECTID,FIPS,NAME,COUNTY,HSR,POPOVER18,MAP_SYMBOL,CTYREG_EST,STATE_AVG,HSR_SYMBOL,MNTLD,MCONFINT
811,08035013905,"Census Tract 139.05, Douglas County, Colorado",Douglas,3,2511,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,8.1,95% C.I.: 7.8 - 8.5
812,08035013904,"Census Tract 139.04, Douglas County, Colorado",Douglas,3,3211,Fourth Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,9.8,95% C.I.: 9.4 - 10.3
813,08035014001,"Census Tract 140.01, Douglas County, Colorado",Douglas,3,4971,Fourth Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,9.9,95% C.I.: 9.4 - 10.4
814,08035014115,"Census Tract 141.15, Douglas County, Colorado",Douglas,3,3169,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,8,95% C.I.: 7.6 - 8.4
815,08035014114,"Census Tract 141.14, Douglas County, Colorado",Douglas,3,2784,Second Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,8.6,95% C.I.: 8.3 - 9.1
816,08035014113,"Census Tract 141.13, Douglas County, Colorado",Douglas,3,2258,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,8.1,95% C.I.: 7.7 - 8.5
817,08009964600,"Census Tract 9646, Baca County, Colorado",Baca,6,1313,Fourth Quintile,County/Regional Estimate 7.7% (95% C.I.: 1.8 - 13.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,10.4,95% C.I.: 8.3 - 14.8
818,08009964700,"Census Tract 9647, Baca County, Colorado",Baca,6,1600,Fourth Quintile,County/Regional Estimate 7.7% (95% C.I.: 1.8 - 13.7),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,10.1,95% C.I.: 8.1 - 14.4
819,08019014700,"Census Tract 147, Clear Creek County, Colorado",Clear Creek,17,4100,Lowest Quintile,County/Regional Estimate 4.4% (95% C.I.: 1.5 - 7.3),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,7.9,95% C.I.: 4.1 - 5.1
820,08019014800,"Census Tract 148, Clear Creek County, Colorado",Clear Creek,17,1471,Lowest Quintile,County/Regional Estimate 4.4% (95% C.I.: 1.5 - 7.3),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Second Quintile,7.4,95% C.I.: 3.7 - 4.7
